block_id,sampled_before_constraints_mean,after_projection_mean,after_cap_mean,after_calibration_mean,final_mean,delta_projection_mean,delta_projection_radiation_mean,delta_projection_thermal_mean,delta_cap_mean,delta_calibration_mean,total_adjustment_abs_mean,constraint_pressure_score,per_cell_delta_abs,projection_active_rate,cap_active_rate,calibration_active_rate,rule_CL1_active,rule_CL3_active,rule_CL5_active,explainability_status,reject_reason
0,-2.083097070827699,-2.083097070827699,-2.083097070827699,-2.064851265542711,-2.064851265542711,0.0,0.0,0.0,0.0,0.0377309014919577,0.0377309014919577,0.0377309014919577,"[[0.04395980290790402, 0.0282393838105941, 0.003543108791829841], [0.014646114680606837, 0.014992474669307976, 0.044422050783680334], [0.082040030536498, 0.06087362485229475, 0.04808643491476117], [0.028702779081280605, 0.12480807837169072, 0.008323773008320767], [0.0031151663520683215, 0.028907385629178606, 0.03130331398934949]]",0.0,0.0,1.0,False,False,False,pass,
1,-2.087209245057357,-2.0872092450573576,-2.0872092450573576,-2.0709176209567444,-2.0709176209567444,0.003345606784645187,0.003345606784645187,0.0,0.0,0.027528898652940652,0.03087450543758584,0.03087450543758584,"[[0.02684906286605715, 0.0282393838105941, 0.003543108791829841], [0.040944223899226695, 0.038567486813527285, 0.004050065257064084], [0.040944223899226695, 0.03856748681352706, 0.004050065257064084], [0.028702779081280605, 0.12480807837169072, 0.008323773008320767], [0.0031151663520683215, 0.028907385629178606, 0.043505291713131555]]",0.4,0.0,1.0,True,False,False,pass,
2,-2.0843114220043293,-2.0843114220043293,-2.0843114220043293,-2.068543328119144,-2.068543328119144,0.010994930427329944,0.010994930427329944,0.0,0.0,0.02519828386530616,0.036193214292636104,0.036193214292636104,"[[0.0, 0.0282393838105941, 0.003543108791829841], [0.10776667088181813, 0.031332840342595425, 0.005442975343093348], [0.10776667088181813, 0.031332840342595425, 0.00910735947417507], [0.028702779081280605, 0.12480807837169072, 0.008323773008320767], [0.0031151663520683215, 0.028907385629178606, 0.02450918207848307]]",0.26666666666666666,0.0,0.9333333333333333,True,False,False,pass,
3,-2.1295368988582872,-2.1295368988582872,-2.1295368988582872,-2.109402922718788,-2.109402922718788,0.00535075199510493,0.00535075199510493,0.0,0.0,0.025570545130076682,0.030921297125181612,0.030921297125181612,"[[0.040979051736228955, 0.0282393838105941, 0.003543108791829841], [0.07322844285782526, 0.008648005854858809, 0.002431347098947434], [0.07322844285782537, 0.037233144328127965, 0.002431347098947434], [0.028702779081280605, 0.12480807837169072, 0.008323773008320767], [0.0031151663520683215, 0.028907385629178606, 0.0]]",0.26666666666666666,0.0,0.9333333333333333,True,False,False,pass,
4,-2.158110998515869,-2.158110998515869,-2.158110998515869,-2.1373368956721444,-2.1373368956721444,0.0,0.0,0.0,0.0,0.0373946397862125,0.0373946397862125,0.0373946397862125,"[[0.06655816647820051, 0.0282393838105941, 0.003543108791829841], [0.023480494677057484, 0.01400615606654343, 0.044422050783680334], [0.09087441053294876, 0.03187499411644379, 0.04808643491476117], [0.028702779081280605, 0.12480807837169072, 0.008323773008320767], [0.0031151663520683215, 0.028907385629178606, 0.015977214178588994]]",0.0,0.0,1.0,False,False,False,pass,
5,-2.119205088892612,-2.119205088892612,-2.119205088892612,-2.1004631525829818,-2.1004631525829818,0.005401254953146288,0.005401254953146288,0.0,0.0,0.030878835575293747,0.036280090528440036,0.036280090528440036,"[[0.04740903920655126, 0.0282393838105941, 0.003543108791829841], [0.022941892144782705, 0.02968226295142995, 0.0355999163542009], [0.09033580800067398, 0.02968226295142995, 0.0355999163542009], [0.028702779081280605, 0.12480807837169072, 0.008323773008320767], [0.0031151663520683215, 0.028907385629178606, 0.02731058491836791]]",0.26666666666666666,0.0,1.0,True,False,False,pass,
6,-2.138480568691796,-2.138480568691796,-2.138480568691796,-2.1186908090468366,-2.1186908090468366,0.0,0.0,0.0,0.0,0.03656221939087275,0.03656221939087275,0.03656221939087275,"[[0.05746546091756677, 0.0282393838105941, 0.003543108791829841], [0.0218698915769604, 0.02118011401528941, 0.02031951847332847], [0.08926380743285178, 0.06706126419827618, 0.02398390260441019], [0.028702779081280605, 0.12480807837169072, 0.008323773008320767], [0.0031151663520683215, 0.028907385629178606, 0.021649656599445066]]",0.0,0.0,1.0,False,False,False,pass,
7,-2.087930742773536,-2.087930742773536,-2.087930742773536,-2.071359889354692,-2.071359889354692,0.0034693418184289135,0.0034693418184289135,0.0,0.0,0.027024044423511712,0.030493386241940628,0.030493386241940628,"[[0.02515687603208222, 0.0282393838105941, 0.003543108791829841], [0.02981749950361423, 0.02070626002556253, 0.027852255703757045], [0.03757641635227715, 0.025174890157424246, 0.027852255703757045], [0.028702779081280605, 0.12480807837169072, 0.008323773008320767], [0.0031151663520683215, 0.028907385629178606, 0.03762466510567197]]",0.13333333333333333,0.0,1.0,True,False,False,pass,
8,-2.131809052503509,-2.131809052503509,-2.131809052503509,-2.1186718757217817,-2.1186718757217817,0.0027434994517286037,0.0027434994517286037,0.0,0.0,0.03029645812469261,0.03303995757642121,0.03303995757642121,"[[0.0, 0.0282393838105941, 0.003543108791829841], [0.054273203815910165, 0.01521163340185816, 0.008735770610696303], [0.054273203815910054, 0.06109278358484538, 0.012400154741778024], [0.028702779081280605, 0.12480807837169072, 0.008323773008320767], [0.0031151663520683215, 0.028907385629178606, 0.06397293863035713]]",0.13333333333333333,0.0,0.9333333333333333,True,False,False,pass,
9,-2.084386164730328,-2.084386164730328,-2.084386164730328,-2.0703387405913762,-2.0703387405913762,0.0031609886544408106,0.0031609886544408106,0.0,0.0,0.026193223565794187,0.029354212220234998,0.029354212220234998,"[[0.0, 0.0282393838105941, 0.003543108791829841], [0.016371340913056365, 0.00975492957988866, 0.025539606973846496], [0.0510225749428348, 0.036126220603098114, 0.02553960697384694], [0.028702779081280605, 0.12480807837169072, 0.008323773008320767], [0.0031151663520683215, 0.028907385629178606, 0.050319228271990646]]",0.13333333333333333,0.0,0.9333333333333333,True,False,False,pass,
