Радиация,Температура,Время,real_survival,synthetic_mean,bootstrap_mean,bootstrap_std,ci95_low,ci95_high,real_inside_ci95,n_rows
0.0,42.0,45.0,0.53,0.5231118631830908,0.5230084965375874,0.002094838947973856,0.5185787785142303,0.5269504577758329,False,67
0.0,43.0,45.0,0.18,0.18341872779341828,0.18346692985583235,0.004265843337573891,0.17543862952381814,0.19232288774502906,True,67
0.0,44.0,30.0,0.021,0.02115380474037977,0.021145298231534417,0.00030799346162092205,0.02052731289104253,0.02175349109186329,True,67
2.0,42.0,45.0,0.26,0.2691891311983198,0.26917080280170763,0.007347111116317896,0.25510425678558496,0.2837832355689469,True,67
2.0,43.0,45.0,0.051,0.05205021776275015,0.05207831706409986,0.0009625361969117997,0.05023976134391278,0.053937631374462294,True,67
2.0,44.0,30.0,0.008,0.00811292696035745,0.008111987449385797,9.551197258473612e-05,0.00792202004385509,0.008309441545584615,True,67
4.0,42.0,45.0,0.26,0.26271456624475237,0.2628262762451338,0.006872055204023239,0.2493285586094905,0.276735889640662,True,67
4.0,43.0,45.0,0.051,0.050930566282957834,0.05091250841017686,0.0009255271816265341,0.04909662787599553,0.05268111716418633,True,66
4.0,44.0,30.0,0.008,0.007965732976451171,0.007963261440617571,9.98689871562081e-05,0.007772704760193708,0.008161179773840893,True,66
6.0,42.0,45.0,0.022,0.022233068729814745,0.022231877279194102,0.00042147193079585145,0.02139730909677829,0.023087385753945273,True,66
6.0,43.0,45.0,0.012,0.01209322910103965,0.012088998323822065,0.00018070748428330874,0.011737353744533928,0.012437386780156573,True,67
6.0,44.0,30.0,0.0003,0.0003019446092592061,0.00030192135224400455,3.7666036767751515e-06,0.00029427071470625833,0.00030928117386569263,True,66
8.0,42.0,45.0,0.0007,0.0007032853434235746,0.0007032889700684725,8.203026906095534e-06,0.0006875995877105749,0.0007198894927417016,True,67
8.0,43.0,45.0,4e-05,4.014863666264666e-05,4.015277575994404e-05,4.219627972970192e-07,3.928993411657524e-05,4.098142345583485e-05,True,67
8.0,44.0,30.0,0.0,1.2771576105653132e-08,1.2868503967894488e-08,4.013278863660124e-09,5.729209153762792e-09,2.1204111751672603e-08,False,66
