Радиация,Температура,Время,synthetic_mean_mean,synthetic_mean_std,synthetic_mean_min,synthetic_mean_max,abs_mean_error_mean,abs_mean_error_max
0.0,42.0,45.0,0.5242119608330825,0.0010137369435759445,0.5228129733809947,0.5256429105222048,0.005788039166917502,0.007187026619005277
0.0,43.0,45.0,0.18317450626856124,0.0004388834855148773,0.1826402308380947,0.18392749043688053,0.0031745062685612467,0.0039274904368805374
0.0,44.0,30.0,0.021156470952634097,3.738728571777011e-05,0.02112604214412303,0.021242759188259342,0.00015647095263409587,0.00024275918825934079
2.0,42.0,45.0,0.27044043186428257,0.0013267459811486953,0.268697488891582,0.2721394642392017,0.010440431864282576,0.012139464239201703
2.0,43.0,45.0,0.05205487666410988,8.970113686727816e-05,0.05193693947927229,0.05218108024611096,0.0010548766641098797,0.001181080246110966
2.0,44.0,30.0,0.008116030515397613,1.2997926140826824e-05,0.008101190035715763,0.00814246156514592,0.00011603051539761287,0.00014246156514591962
4.0,42.0,45.0,0.26265922644218276,0.0011222454971911821,0.26107138657493867,0.2642042126446469,0.0026592264421827355,0.004204212644646876
4.0,43.0,45.0,0.05101303309601133,0.00016536533192374448,0.05087309430877453,0.051381623898794,0.00010978928542442618,0.0003816238987940021
4.0,44.0,30.0,0.007989044782078769,1.2005070341432761e-05,0.007965732976451218,0.008006059362524616,1.2470058552384831e-05,3.4267023548782e-05
6.0,42.0,45.0,0.022223047121752625,6.732245524883645e-05,0.02214813654650423,0.022332318331121096,0.0002230471217526263,0.0003323183311210974
6.0,43.0,45.0,0.012108007227363035,2.045911225644026e-05,0.012087251949961783,0.012138825089370186,0.00010800722736303446,0.00013882508937018527
6.0,44.0,30.0,0.0003023209104681989,6.584989026383101e-07,0.0003016838010122698,0.00030379383196091814,2.320910468198933e-06,3.7938319609181624e-06
8.0,42.0,45.0,0.0007033181469042694,1.1116459938877991e-06,0.000701509771118765,0.0007054772421620953,3.3181469042694542e-06,5.4772421620953235e-06
8.0,43.0,45.0,4.0178960521707663e-05,1.852014160455863e-08,4.014863666264666e-05,4.020630953708214e-05,1.7896052170766272e-07,2.0630953708213447e-07
8.0,44.0,30.0,1.2553617762234508e-08,1.033471695158545e-09,1.0334988052085878e-08,1.3464131256394757e-08,1.2553617762234508e-08,1.3464131256394757e-08
